Algorithm,Entropy,Hamming_Weight,Repeated,Size_Ratio,Encryption_Time_per_Byte,Decryption_Time_per_Byte
AES-CBC,5.543851259896101,0.50078125,0,0.9999999999999902,0.0,0.0
AES-ECB,5.543795880385562,0.4998401128729886,0,1.00015624999999,0.0,0.0
ChaCha20,5.544026074179196,0.50033935546875,0,0.9999999999999902,0.0,9.341165423393158e-06
RSA,5.544346633981837,0.4998867622333024,0,1.3474999999999868,0.0001949607394635658,0.0015354366041719764
Blowfish,5.544098344857797,0.4995068359375,0,0.9999999999999902,9.834766387939357e-06,1.0118819773197074e-05
AES-CBC,5.544127543496888,0.498599853515625,0,0.9999999999999902,9.783543646335505e-06,0.0
AES-ECB,5.543703962993482,0.4995325437431651,0,1.00015624999999,9.77423042058935e-06,0.0
ChaCha20,5.543981939909145,0.5,0,0.9999999999999902,0.0,0.0
RSA,5.544120439408003,0.4999845996637291,0,1.3474999999999868,0.00018341932445764363,0.001670054625719769
Blowfish,5.544126439077184,0.5003955078125,0,0.9999999999999902,0.0,1.5555415302514877e-05
AES-CBC,5.544051148129148,0.500020751953125,0,0.9999999999999902,0.0,0.0
AES-ECB,5.544019315675817,0.4997839693016716,0,1.00015624999999,0.0,0.0
ChaCha20,5.543910019720821,0.499677734375,0,0.9999999999999902,0.0,0.0
RSA,5.544312654575647,0.499848714343692,0,1.3474999999999868,0.00020975712686776912,0.0016473326832055885
Blowfish,5.543877892153585,0.500218505859375,0,0.9999999999999902,8.9826062321662e-06,1.058448106050481e-05
AES-CBC,5.544073035726101,0.5002783203125,0,0.9999999999999902,0.0,0.0
AES-ECB,5.543895378277002,0.4994556514607092,0,1.00015624999999,0.0,0.0
ChaCha20,5.544069783714363,0.499857177734375,0,0.9999999999999902,9.77655872702589e-06,0.0
RSA,5.544004574655235,0.4999800701530612,0,1.3474999999999868,0.00019145198166370205,0.0014946400187909456
Blowfish,5.543987757543119,0.500643310546875,0,0.9999999999999902,9.820796549320124e-06,9.748619049787426e-06
AES-CBC,5.543961090104746,0.499444580078125,0,0.9999999999999902,0.0,0.0
AES-ECB,5.543982997441463,0.5001659896891111,0,1.00015624999999,0.0,0.0
ChaCha20,5.543889908107607,0.499093017578125,0,0.9999999999999902,0.0,0.0
RSA,5.544422964582796,0.4996675339169759,0,1.3474999999999868,0.0002072355709969977,0.0016513071022927598
Blowfish,5.543902557936932,0.4996728515625,0,0.9999999999999902,0.0,1.049600541591634e-05
AES-CBC,5.545053849419986,0.5001389980316162,0,0.9999999999999991,1.916305336635558e-06,1.9881554180756194e-06
AES-ECB,5.545054023437656,0.5001155120390008,0,1.0000152587890616,0.0,1.5197656466625618e-06
ChaCha20,5.5450594973786345,0.4997036457061767,0,0.9999999999999991,0.0,1.5190835256362321e-06
RSA,5.545084172226194,0.4999447045150842,0,1.347412109374999,0.00023930510906211544,0.001603695636731571
Blowfish,5.545038914810887,0.4999666213989258,0,0.9999999999999991,8.675215212861068e-06,8.121332939481356e-06
AES-CBC,5.545051551059759,0.5002137422561646,0,0.9999999999999991,9.538325684843579e-07,1.0338681022403755e-06
AES-ECB,5.545036579431836,0.4999792579001175,0,1.0000152587890616,9.135874279309055e-07,9.481482265982768e-07
ChaCha20,5.545072258341259,0.4999005794525146,0,0.9999999999999991,1.1420979717513536e-06,0.0
RSA,5.545069206031119,0.4998001399993205,0,1.347412109374999,0.00018468608686816854,0.0015519192402280156
Blowfish,5.545047775200668,0.4998661279678345,0,0.9999999999999991,1.0070834832731626e-05,8.622009772807351e-06
AES-CBC,5.545054766924224,0.5001239776611328,0,0.9999999999999991,1.5174919099081293e-06,1.2721557141048823e-06
AES-ECB,5.545040842821168,0.4999135745838229,0,1.0000152587890616,9.656559996074057e-07,9.558789315633467e-07
ChaCha20,5.545064999221214,0.5000497102737427,0,0.9999999999999991,8.733422873774536e-07,0.0
RSA,5.545077693592168,0.4995930252310201,0,1.347412109374999,0.00020096990738238655,0.0015054486084409278
Blowfish,5.545050506456963,0.4998054504394531,0,0.9999999999999991,8.882580004865295e-06,7.808694135746912e-06
AES-CBC,5.545060262370285,0.5001269578933716,0,0.9999999999999991,1.5184014046099024e-06,1.991566023207268e-06
AES-ECB,5.545057079153434,0.5001308898027068,0,1.0000152587890616,1.4379111235029983e-06,0.0
ChaCha20,5.545046803929578,0.5000091791152954,0,0.9999999999999991,0.0,9.556515578879035e-07
RSA,5.545095736720439,0.4995807275151748,0,1.347412109374999,0.00018014270608546201,0.0015284074379451327
Blowfish,5.545069657537631,0.4999608993530273,0,0.9999999999999991,8.25320967123843e-06,8.432834874838584e-06
AES-CBC,5.545038165346515,0.4998342990875244,0,0.9999999999999991,9.802079148357726e-07,1.90448190551251e-06
AES-ECB,5.545052325555767,0.5001782151685308,0,1.0000152587890616,9.538325684843579e-07,9.55196810537017e-07
ChaCha20,5.545050274796228,0.4999722242355346,0,0.9999999999999991,0.0,9.570157999405629e-07
RSA,5.545082586390164,0.4997029084186447,0,1.347412109374999,0.00018898299458669482,0.0015796063053130625
Blowfish,5.545053485046669,0.4999246597290039,0,0.9999999999999991,8.569486453779966e-06,7.161588655435473e-06
AES-CBC,5.545068505732205,0.5002878904342651,0,0.9999999999999991,1.9276740204077197e-06,9.80662662186659e-07
AES-ECB,5.545058090148546,0.5001238565619421,0,1.0000152587890616,0.0,9.595169103704384e-07
ChaCha20,5.545061743035039,0.500328540802002,0,0.9999999999999991,9.674749890109516e-07,0.0
RSA,5.545089683634814,0.5000372470386393,0,1.347412109374999,0.00018376567822997442,0.0015365367289632546
Blowfish,5.54505209257556,0.4999699592590332,0,0.9999999999999991,8.665665518492452e-06,8.294819053844542e-06
AES-CBC,5.545046075059316,0.5000344514846802,0,0.9999999999999991,1.027729013003408e-06,1.520902515039778e-06
AES-ECB,5.545049673087807,0.4999837877839999,0,1.0000152587890616,9.52240952756255e-07,0.0
ChaCha20,5.545032355406841,0.4998365640640259,0,0.9999999999999991,0.0,9.720224625198162e-07
RSA,5.545076068222219,0.4997958048333031,0,1.347412109374999,0.00019152093955199218,0.0015137761693040362
Blowfish,5.54504330102791,0.4998735189437866,0,0.9999999999999991,8.38326741359196e-06,8.669303497299545e-06
AES-CBC,5.545154825172553,0.4999370574951172,0,0.9999999999999998,1.8630544218467544e-06,1.7494130588602273e-06
AES-ECB,5.545152275923654,0.5000696656962107,0,1.0000030517578122,3.848072083201259e-07,9.789800969883797e-07
ChaCha20,5.545156576080864,0.5000046968460083,0,0.9999999999999998,6.721620593452826e-07,5.726178642362355e-07
RSA,5.545153557635151,0.499788532371127,0,1.3474121093749998,0.0001845026417868212,0.001584855954206432
Blowfish,5.545153559848363,0.4998654365539551,0,0.9999999999999998,8.968618203653021e-06,8.324468581122345e-06
